Rank,Driver,Car,Lap Time,Sector 1,Sector 2,Sector 3
1,Joshua Arnold (JARNOLD),Audi R8 LMS Evo II 2022,01:34.902,00:21.647,00:37.305,00:35.950
2,Bradley Busek (BSK),BMW M4 GT3 2022,01:35.037,00:21.410,00:37.612,00:36.015
3,Toma Constantin (TCN),Ferrari 488 GT3 Evo,01:35.057,00:21.815,00:37.095,00:36.147
4,Dan Meyer (PLY),Audi R8 LMS Evo II 2022,01:36.465,00:21.627,00:38.305,00:36.532
5,Ramsey Connely (RAM),McLaren 720S GT3 Special,01:36.587,00:21.945,00:37.640,00:37.002
6,Dominic Duran (DCD),Porsche 991 II GT3 R 2019,01:36.942,00:22.012,00:38.567,00:36.362
7,Samuel Suniga (SUN),Porsche 991 II GT3 R 2019,01:36.957,00:22.162,00:38.232,00:36.562
8,Chris Stefiuk (STE),Lexus RC F GT3,01:37.120,00:21.950,00:38.410,00:36.760
9,Josh Damiani (DAM),Aston Martin Vantage V8 2019,01:37.590,00:21.945,00:38.007,00:37.637
10,Kyle  Turner (PLY),McLaren 720S GT3 Special,01:39.260,00:22.492,00:38.885,00:37.882
11,Aroop Kumar (AKB),Lamborghini Huracan Evo 2019,59:59.999,00:00.000,00:00.000,00:00.000
12,Sniper Nova (SNP),Audi R8 LMS Evo II 2022,59:59.999,00:00.000,00:00.000,00:00.000
13,JOSE GUZMAN (GUZ),Honda NSX Evo 2019,59:59.999,00:00.000,00:00.000,00:00.000
