Rank,Driver,Car,Lap Time,Sector 1,Sector 2,Sector 3
1,Tyler James (Tyler James),BMW M4 GT3 2022,01:41.785,00:21.872,00:32.530,00:47.382
2,Matt Leeman (LEE),McLaren 720S GT3 Special,01:41.870,00:22.007,00:32.410,00:47.452
3,Max  Sanchez (MAX),BMW M4 GT3 2022,01:41.940,00:21.922,00:32.485,00:47.532
4,Brad Merys (BRAD),Lamborghini Huracan Evo 2019,01:41.995,00:21.945,00:32.505,00:47.545
5,Steve Yoon (HGN),Aston Martin Vantage V8 2019,01:41.997,00:21.765,00:32.900,00:47.332
6,Evan Kim (KIM),Bentley Continental GT3 2018,01:42.222,00:21.975,00:32.872,00:47.375
7,Kemo Sith (KEM),BMW M4 GT3 2022,01:42.382,00:21.982,00:33.010,00:47.390
8,Chris Moses (MAD),Lamborghini Huracan Evo 2019,01:42.442,00:22.070,00:32.717,00:47.655
9,Bradley Busek (BSK),BMW M4 GT3 2022,01:42.470,00:22.035,00:32.872,00:47.562
10,Dae Hee Yun (HYD),Aston Martin Vantage V8 2019,01:42.510,00:21.917,00:32.745,00:47.847
11,Travis Robinson (TRO),Ferrari 488 GT3 Evo,01:42.540,00:21.900,00:33.012,00:47.627
12,Colin Matyac (PLY),Audi R8 LMS Evo II 2022,01:42.580,00:22.160,00:32.912,00:47.507
13,Chris Stefiuk (STE),Lexus RC F GT3,01:42.627,00:21.865,00:33.112,00:47.650
14,Douglas Mitchell (DJM),BMW M4 GT3 2022,01:42.715,00:22.077,00:32.905,00:47.732
15,Justin Moffatt (MUF),BMW M4 GT3 2022,01:42.725,00:22.047,00:33.232,00:47.445
16,Al Lotufo (ALT),BMW M4 GT3 2022,01:42.822,00:22.020,00:32.905,00:47.897
17,Matthew Schwartz (MLS),Lexus RC F GT3,01:42.830,00:21.960,00:32.935,00:47.935
18,Dominic Duran (DCD),Porsche 991 II GT3 R 2019,01:42.862,00:22.182,00:32.730,00:47.950
19,Jose Toledo (JATS),Aston Martin Vantage V8 2019,01:43.067,00:22.322,00:33.085,00:47.660
20,Samuel Suniga (UWU),Porsche 991 II GT3 R 2019,01:43.070,00:22.287,00:32.952,00:47.830
21,Adam Thomas (TOM),Audi R8 LMS Evo II 2022,01:43.115,00:22.127,00:33.002,00:47.985
22,Joshua Arnold (JARNOLD),Audi R8 LMS Evo II 2022,01:43.165,00:22.142,00:33.025,00:47.997
23,David  Taflevich  (DAVE ),BMW M4 GT3 2022,01:43.167,00:22.147,00:33.007,00:48.012
24,Josh Damiani (DAM),Aston Martin Vantage V8 2019,01:43.330,00:22.115,00:33.227,00:47.987
25,Hesham Rimzk (RIMZK),McLaren 720S GT3 Special,01:43.627,00:22.377,00:33.080,00:48.170
26,Ramsey Connely (RAM),McLaren 720S GT3 Special,01:43.757,00:22.267,00:33.150,00:48.340
27,Ricky Rios (RIOS),Aston Martin Vantage V8 2019,01:43.842,00:22.060,00:33.405,00:48.377
28,Peter Reynolds (REY),Aston Martin Vantage V8 2019,01:43.872,00:22.372,00:33.202,00:48.297
29,Victor Diaz (DIA),McLaren 720S GT3 Special,01:43.945,00:22.432,00:33.105,00:48.407
30,Geetesh Khatavkar (KHA),Audi R8 LMS Evo II 2022,01:43.950,00:22.345,00:33.075,00:48.530
31,Jess Osborn (JESS),BMW M4 GT3 2022,01:43.970,00:22.540,00:33.255,00:48.175
32,Taylor Carter (TC),BMW M4 GT3 2022,01:43.985,00:22.210,00:33.087,00:48.687
33,Pauleh Hartman (PAL),McLaren 720S GT3 Special,01:44.100,00:22.537,00:33.392,00:48.170
34,Aroop Kumar (AKB),Lamborghini Huracan Evo 2019,01:44.167,00:22.605,00:33.410,00:48.152
35,Tyrell Foster (PLY),Porsche 991 II GT3 R 2019,01:44.197,00:22.332,00:33.157,00:48.707
36,Ian Kreiger (KRE),Aston Martin Vantage V8 2019,01:44.262,00:22.212,00:33.807,00:48.242
37,Colin Shea (COLIN ),McLaren 720S GT3 Special,01:44.360,00:22.527,00:33.502,00:48.330
38,Thomas Greer (TGR),Audi R8 LMS Evo II 2022,01:44.375,00:22.410,00:33.202,00:48.762
39,Brooker Quigg (BCQ),Aston Martin Vantage V8 2019,01:44.385,00:22.590,00:33.417,00:48.377
40,Dustin Fickert (DRF),Bentley Continental GT3 2018,01:44.392,00:22.637,00:33.267,00:48.487
41,Justin Burrage (BUR),Porsche 991 II GT3 R 2019,01:44.425,00:22.535,00:33.377,00:48.512
42,Damien Martinez (DMZ),Ferrari 488 GT3 Evo,01:44.460,00:22.400,00:33.025,00:49.035
43,Toma Constantin (TCN),Ferrari 488 GT3 Evo,01:44.475,00:22.527,00:33.445,00:48.502
44,Eduardo Rodríguez (RDZ),Audi R8 LMS Evo II 2022,01:44.680,00:22.612,00:33.805,00:48.262
45,Waleed Sadat (SAD),McLaren 720S GT3 Special,01:44.680,00:22.282,00:33.507,00:48.890
46,Curtis Lee (CUJO),Audi R8 LMS Evo II 2022,01:44.687,00:22.602,00:33.457,00:48.627
47,Curtis Lee (CUJO),Audi R8 LMS Evo 2019,01:44.737,00:22.407,00:33.495,00:48.835
48,Jose Guzman (J. GUZMAN),McLaren 720S GT3 Special,01:44.740,00:22.327,00:33.985,00:48.427
49,Matt Morrison (MFM),McLaren 720S GT3 Special,01:44.805,00:22.557,00:33.947,00:48.300
50,Mathieu Beaudin (MBB),McLaren 720S GT3 Special,01:44.940,00:22.497,00:33.555,00:48.887
51,Fernando Martinez (WTF),Aston Martin Vantage V8 2019,01:44.940,00:22.397,00:33.765,00:48.777
52,Kyle Turner (KYLE),McLaren 720S GT3 Special,01:44.960,00:22.512,00:33.667,00:48.780
53,Ramez Khayat (RAMULUS),BMW M4 GT3 2022,01:44.990,00:22.475,00:33.757,00:48.757
54,Samuel Varghese (STV),BMW M4 GT3 2022,01:45.067,00:22.850,00:33.450,00:48.767
55,Michael Moening (MMO),Aston Martin Vantage V8 2019,01:45.157,00:22.172,00:34.505,00:48.480
56,Carlos Guzman (GUZ),McLaren 720S GT3 Special,01:45.157,00:22.577,00:33.582,00:48.997
57,Ethan Hoskin (E),McLaren 720S GT3 Special,01:45.192,00:22.452,00:33.605,00:49.135
58,Tony Proenza (TONY),Mercedes AMG GT3 2020,01:45.650,00:22.617,00:34.335,00:48.697
59,Matt Morrison (MFM),Audi R8 LMS Evo II 2022,01:45.772,00:22.490,00:34.452,00:48.830
60,Drache Tibbetts (PLY),Aston Martin Vantage V8 2019,01:45.877,00:22.592,00:34.277,00:49.007
