Rank,Driver,Car,Lap Time,Sector 1,Sector 2,Sector 3
1,Matt Leeman (LEE),McLaren 720S GT3 Special,01:33.000,00:23.272,00:36.947,00:32.780
2,S Yoon (HGN),Aston Martin Vantage V8 2019,01:33.997,00:23.475,00:37.340,00:33.182
3,Patrick Rust (RUS),Porsche 991 II GT3 R 2019,01:34.157,00:23.587,00:37.615,00:32.955
4,Grant Klinsing (KLI),Audi R8 LMS Evo II 2022,01:34.400,00:23.752,00:37.385,00:33.262
5,Tyler James (Tyler James),BMW M4 GT3 2022,01:34.505,00:23.695,00:37.567,00:33.242
6,Dominic Duran (DCD),Porsche 991 II GT3 R 2019,01:34.552,00:23.550,00:37.560,00:33.442
7,Michael Moening (MMO),Aston Martin Vantage V8 2019,01:34.660,00:23.560,00:37.912,00:33.187
8,Brooker Quigg (BCQ),Aston Martin Vantage V8 2019,01:34.722,00:23.627,00:37.692,00:33.402
9,Max  Sanchez (MAX),BMW M4 GT3 2022,01:34.750,00:23.685,00:37.570,00:33.495
10,David  Taflevich  (DAVE ),BMW M4 GT3 2022,01:34.765,00:23.702,00:37.647,00:33.415
11,Travis Robinson (TRO),Ferrari 488 GT3 Evo,01:34.890,00:23.630,00:37.812,00:33.447
12,Douglas Mitchell (DJM),BMW M4 GT3 2022,01:34.897,00:23.982,00:37.510,00:33.405
13,Bradley Busek (BSK),BMW M4 GT3 2022,01:35.015,00:23.907,00:37.732,00:33.375
14,Dae Hee Yun (HYD),Aston Martin Vantage V8 2019,01:35.052,00:24.030,00:37.580,00:33.442
15,Peter Reynolds (REY),Aston Martin Vantage V8 2019,01:35.102,00:23.877,00:37.652,00:33.572
16,Chris Moses (MAD),Lamborghini Huracan Evo 2019,01:35.142,00:23.942,00:37.682,00:33.517
17,John Foguth (JFO),McLaren 720S GT3 Special,01:35.162,00:23.742,00:37.897,00:33.522
18,Chris Stefiuk (STE),Lexus RC F GT3,01:35.212,00:24.010,00:37.707,00:33.495
19,Hesham Rimzk (RIMZK),McLaren 720S GT3 Special,01:35.320,00:23.985,00:37.725,00:33.610
20,Brad Merys (BRAD),Lamborghini Huracan Evo 2019,01:35.332,00:23.875,00:37.905,00:33.552
21,Justin Burrage (BUR),Porsche 991 II GT3 R 2019,01:35.395,00:23.847,00:37.952,00:33.595
22,Evan Kim (KIM),Bentley Continental GT3 2018,01:35.417,00:23.962,00:37.845,00:33.610
23,Victor Diaz (DIA),McLaren 720S GT3 Special,01:35.432,00:23.922,00:37.830,00:33.680
24,Joshua Arnold (JARNOLD),Audi R8 LMS Evo II 2022,01:35.445,00:23.647,00:38.095,00:33.702
25,Jason Allen (JAL),Audi R8 LMS Evo II 2022,01:35.522,00:23.830,00:37.817,00:33.875
26,Colin Shea (COLIN ),McLaren 720S GT3 Special,01:35.580,00:23.940,00:38.122,00:33.517
27,Matthew Schwartz (MLS),Lexus RC F GT3,01:35.637,00:24.020,00:37.890,00:33.727
28,Kyle Turner (KYLE),McLaren 720S GT3 Special,01:35.675,00:23.780,00:38.255,00:33.640
29,Jose Toledo (JATS),Aston Martin Vantage V8 2019,01:35.712,00:24.100,00:37.767,00:33.845
30,Taylor Carter (TC),BMW M4 GT3 2022,01:35.732,00:23.795,00:38.112,00:33.825
31,Dustin Fickert (DRF),Bentley Continental GT3 2018,01:35.817,00:24.005,00:38.042,00:33.770
32,Pauleh Hartman (PAL),McLaren 720S GT3 Special,01:35.820,00:23.860,00:38.012,00:33.947
33,Colin Matyac (PLY),Audi R8 LMS Evo II 2022,01:35.970,00:23.965,00:38.070,00:33.935
34,Damien Martinez (DMZ),Ferrari 488 GT3 Evo,01:35.977,00:23.912,00:38.105,00:33.960
35,Tyrell Foster (PLY),Porsche 991 II GT3 R 2019,01:36.062,00:23.882,00:38.542,00:33.637
36,Jess Osborn (JESS),BMW M4 GT3 2022,01:36.097,00:24.310,00:38.022,00:33.765
37,Justin Moffatt (MUF),BMW M4 GT3 2022,01:36.195,00:24.090,00:38.042,00:34.062
38,Thomas Greer (TGR),Audi R8 LMS Evo II 2022,01:36.277,00:24.360,00:37.952,00:33.965
39,Toma Constantin (TCN),Ferrari 488 GT3 Evo,01:36.330,00:24.252,00:38.122,00:33.955
40,Ramsey Connely (RAM),McLaren 720S GT3 Special,01:36.332,00:24.095,00:38.272,00:33.965
41,Russell Allen (RUSSELL),Audi R8 LMS Evo II 2022,01:36.370,00:24.090,00:38.205,00:34.075
42,Matt Morrison (MFM),Audi R8 LMS Evo II 2022,01:36.475,00:24.380,00:37.975,00:34.120
43,Eduardo Rodriguez (RDZ),Audi R8 LMS Evo II 2022,01:36.477,00:24.477,00:38.170,00:33.830
44,Thomas Greer (TGR),McLaren 720S GT3 Special,01:36.510,00:24.495,00:38.075,00:33.940
45,Diego Moro (MOR),Audi R8 LMS Evo II 2022,01:36.555,00:24.430,00:38.002,00:34.122
46,Waleed Sadat (SAD),McLaren 720S GT3 Special,01:36.617,00:23.835,00:38.457,00:34.325
47,Curtis Lee (CUJO),Audi R8 LMS Evo II 2022,01:36.655,00:24.165,00:38.225,00:34.265
48,Ramez Khayat (RAMULUS),BMW M4 GT3 2022,01:36.675,00:24.080,00:38.210,00:34.385
49,Kyle Klingforth (PLY),BMW M4 GT3 2022,01:36.690,00:24.222,00:38.092,00:34.375
50,Carlos Guzman (GUZ),McLaren 720S GT3 Special,01:36.857,00:24.442,00:38.655,00:33.760
51,Alex Daniel (ALEX ),BMW M4 GT3 2022,01:37.000,00:24.297,00:38.427,00:34.275
52,Mathieu Beaudin (MBB),McLaren 720S GT3 Special,01:37.037,00:24.280,00:38.345,00:34.412
53,Curtis Lee (CUJO),Lexus RC F GT3,01:37.427,00:24.627,00:38.682,00:34.117
54,Gavin Thomas (GAVIN),Bentley Continental GT3 2018,01:37.502,00:24.685,00:38.680,00:34.137
55,Jose Guzman (J. GUZMAN),McLaren 720S GT3 Special,01:37.667,00:24.375,00:38.802,00:34.490
56,Samuel Varghese (STV),BMW M4 GT3 2022,01:38.165,00:24.750,00:38.832,00:34.582
57,Geetesh Khatavkar (KHA),Audi R8 LMS Evo II 2022,01:38.382,00:24.632,00:38.810,00:34.940
58,Kyle Martin (KYLE),Mercedes AMG GT3 2020,01:38.390,00:24.517,00:38.755,00:35.117
59,Sniper Nova (NOVA),Audi R8 LMS Evo II 2022,01:38.392,00:24.640,00:38.685,00:35.067
60,Curtis Lee (CUJO),Audi R8 LMS Evo 2019,01:38.397,00:24.562,00:39.195,00:34.640
61,Jacob Wolfman (WOLFDOG),Bentley Continental GT3 2018,01:38.570,00:24.835,00:39.022,00:34.712
62,Tony Proenza (TONY),Mercedes AMG GT3 2020,01:38.752,00:24.835,00:38.615,00:35.302
63,Dan Meyer (MEY),Audi R8 LMS Evo II 2022,01:38.957,00:24.772,00:38.665,00:35.520
64,Jacob Rogers (ROG),BMW M4 GT3 2022,01:39.095,00:25.192,00:39.130,00:34.772
65,Fernando Martinez (WTF),Aston Martin Vantage V8 2019,01:39.160,00:24.895,00:39.390,00:34.875
66,Josh Damiani (DAM),Aston Martin Vantage V8 2019,01:39.815,00:24.937,00:39.652,00:35.225
67,Farzam Farhoumand (FFX),BMW M4 GT3 2022,01:39.910,00:24.877,00:39.480,00:35.552
68,Dennis Mok (MOK),McLaren 720S GT3 Special,01:40.665,00:25.355,00:39.457,00:35.852
69,Drache Tibbetts (DXT),Aston Martin Vantage V8 2019,01:41.102,00:25.057,00:40.012,00:36.032
70,Art Scrimo (PLY),McLaren 720S GT3 Special,01:41.735,00:25.065,00:40.047,00:36.622
71,Steven Lobser (PLY),Bentley Continental GT3 2015,01:42.117,00:26.497,00:39.692,00:35.927
72,Art Scrimo (PLY),BMW M4 GT3 2022,01:42.500,00:25.397,00:40.840,00:36.262
73,Juan Alverez (PLY),McLaren 720S GT3 Special,01:42.917,00:26.517,00:39.975,00:36.425
