Rank,Driver,Car,Lap Time,Sector 1,Sector 2,Sector 3
1,Michael Moening (MMO),Aston Martin Vantage V8 2019,01:33.875,00:22.960,00:45.327,00:25.587
2,Chris Moses (MAD),Mercedes AMG GT3 2020,01:34.005,00:23.237,00:45.005,00:25.762
3,Evan Kim (KIM),Bentley Continental GT3 2018,01:34.145,00:23.215,00:45.480,00:25.450
4,Dae Hee Yun (HYD),McLaren 720S GT3 Special,01:34.177,00:23.307,00:45.277,00:25.592
5,Chris Hannigan (HAN),Bentley Continental GT3 2018,01:34.252,00:23.140,00:45.382,00:25.730
6,Dominic Duran (DCD),McLaren 720S GT3 Special,01:34.515,00:23.140,00:45.657,00:25.717
7,Chris Stefiuk (STE),Lamborghini Huracan Evo 2019,01:34.837,00:23.385,00:45.652,00:25.800
8,Douglas Mitchell (DJM),BMW M4 GT3 2022,01:34.862,00:23.242,00:45.715,00:25.905
9,Victor Diaz (PLY),McLaren 720S GT3 Special,01:34.962,00:23.255,00:45.862,00:25.845
10,David Taflevich (PLY),BMW M4 GT3 2022,01:35.025,00:23.385,00:45.660,00:25.980
11,J. Taka (TAK),BMW M4 GT3 2022,01:35.062,00:23.095,00:45.787,00:26.180
12,Colin Matyac (CTM),Nissan GT-R Nismo GT3 2018,01:35.132,00:23.530,00:45.617,00:25.985
13,Dustin Fickert (DRF),McLaren 720S GT3 Special,01:35.305,00:23.432,00:45.967,00:25.905
14,Scott Speed (LIN),Ferrari 488 GT3 Evo,01:35.515,00:23.472,00:46.120,00:25.922
15,Curtis Lee (LEE),Audi R8 LMS Evo 2019,01:35.595,00:23.650,00:45.950,00:25.995
16,Josh Damiani (DAM),Aston Martin Vantage V8 2019,01:35.597,00:23.390,00:45.957,00:26.250
17,Hesham Rimzk (RIM),Ferrari 488 GT3 Evo,01:35.620,00:23.212,00:46.375,00:26.032
18,Damon Morla (DAM),BMW M4 GT3 2022,01:35.645,00:23.270,00:46.317,00:26.057
19,Matt Morrison[TSR] (MOR),Audi R8 LMS Evo 2019,01:35.735,00:23.572,00:46.100,00:26.062
20,Matthew Schwartz (SCH),McLaren 720S GT3 Special,01:35.757,00:23.297,00:46.080,00:26.380
21,Curtis Lee (LEE),Lexus RC F GT3,01:35.762,00:23.425,00:46.342,00:25.995
22,Justin Burrage (BUR),Aston Martin Vantage V8 2019,01:35.837,00:23.677,00:45.935,00:26.225
23,Russell Allen (ALL),Nissan GT-R Nismo GT3 2018,01:35.947,00:23.527,00:46.280,00:26.140
24,Curtis Lee (LEE),Bentley Continental GT3 2018,01:36.660,00:23.397,00:46.947,00:26.315
25,Nathan Schaefer (LFG),McLaren 720S GT3 Special,01:37.522,00:23.607,00:46.792,00:27.122
26,Pauleh Hartman (PLY),McLaren 720S GT3 Special,01:37.582,00:24.000,00:47.372,00:26.210
27,Mathieu Beaudin (MBB),McLaren 720S GT3 Special,01:37.745,00:24.047,00:47.107,00:26.590
28,Jacob Wolfman (WOL),Bentley Continental GT3 2018,01:38.322,00:24.240,00:47.350,00:26.732
29,Dan Meyer (PLY),Ferrari 488 GT3 Evo,01:38.365,00:24.732,00:47.037,00:26.595
30,Gavin Thomas (THO),McLaren 720S GT3 Special,01:38.832,00:24.152,00:47.547,00:27.132
31,Tyler James (TYJ),BMW M4 GT3 2022,59:59.999,00:00.000,00:00.000,00:00.000
