Rank,Driver,Car,Lap Time,Sector 1,Sector 2,Sector 3
1,Chris Stefiuk (STE),Lexus RC F GT3,02:02.672,00:33.962,00:33.917,00:54.792
2,Steve Yoon (HGN),Aston Martin Vantage V8 2019,02:03.155,00:34.055,00:33.952,00:55.147
3,David Taflevich (PLY),BMW M4 GT3 2022,02:03.670,00:34.180,00:34.477,00:55.012
4,Dominic Duran (DCD),Porsche 991 II GT3 R 2019,02:04.032,00:34.087,00:34.742,00:55.202
5,Jose Guzman (PLY),McLaren 720S GT3 Special,02:04.375,00:34.532,00:34.357,00:55.485
6,Jason Allen (JAL),Audi R8 LMS Evo II 2022,02:04.452,00:34.575,00:34.175,00:55.702
7,Bradley Busek (BUS),BMW M4 GT3 2022,02:04.452,00:34.435,00:34.610,00:55.407
8,Jess Osborn (PLY),BMW M4 GT3 2022,02:04.847,00:34.840,00:34.135,00:55.872
9,Joshua Arnold (ARN),Audi R8 LMS Evo II 2022,02:04.925,00:34.752,00:34.190,00:55.982
10,Dae Hee Yun (HYD),Aston Martin Vantage V8 2019,02:05.045,00:34.772,00:34.050,00:56.222
11,Hesham Rimzk (RIM),McLaren 720S GT3 Special,02:05.085,00:34.935,00:34.307,00:55.842
12,Grant Klinsing (KLI),Audi R8 LMS Evo II 2022,02:05.245,00:34.777,00:34.277,00:56.190
13,Carlos Guzman (GUZ),McLaren 720S GT3 Special,02:05.292,00:34.862,00:34.427,00:56.002
14,Justin Burrage (BUR),Porsche 991 II GT3 R 2019,02:05.505,00:34.785,00:34.485,00:56.235
15,Curtis Lee (CUJO),Audi R8 LMS Evo II 2022,02:05.740,00:34.915,00:34.437,00:56.387
16,Chris Moses (MAD),Lamborghini Huracan Evo 2019,02:05.960,00:34.935,00:34.750,00:56.275
17,colin shea (PLY),McLaren 720S GT3 Special,02:06.100,00:35.482,00:34.390,00:56.227
18,Evan Kim (KIM),Bentley Continental GT3 2018,02:06.265,00:35.002,00:34.517,00:56.745
19,Matthew Schwartz (MLS),Lexus RC F GT3,02:06.327,00:34.925,00:34.865,00:56.537
20,Kyle  Turner (PLY),McLaren 720S GT3 Special,02:06.330,00:35.147,00:34.565,00:56.617
21,Travis Robinson (TRO),Ferrari 488 GT3 Evo,02:06.862,00:35.215,00:34.927,00:56.720
22,Geetesh Khatavkar (KHA),Audi R8 LMS Evo II 2022,02:06.885,00:35.112,00:34.985,00:56.787
23,Sniper Nova (SNP),Audi R8 LMS Evo II 2022,02:07.180,00:35.255,00:34.742,00:57.182
24,Ramez Khayat (KHA),BMW M4 GT3 2022,02:07.537,00:34.650,00:35.560,00:57.327
25,Tony Proenza (PLY),Mercedes AMG GT3 2020,02:07.715,00:35.012,00:34.997,00:57.705
26,Max  Sanchez (MAX),BMW M4 GT3 2022,02:08.377,00:35.480,00:35.302,00:57.595
27,John Foguth (JFO),McLaren 720S GT3 Special,02:08.410,00:35.240,00:35.125,00:58.045
28,Victor Diaz (PLY),McLaren 720S GT3 Special,02:08.980,00:35.505,00:35.272,00:58.202
29,Jose Toledo (JAT),Aston Martin Vantage V8 2019,02:09.565,00:35.797,00:35.415,00:58.352
30,Waleed Sadat (SAD),McLaren 720S GT3 Special,02:09.822,00:36.240,00:35.127,00:58.455
31,Ricky Rios (RIC),Aston Martin Vantage V8 2019,02:09.932,00:36.210,00:35.437,00:58.285
32,Adam Thomas (TOM),Audi R8 LMS Evo II 2022,02:10.162,00:36.287,00:35.460,00:58.415
33,Pauleh Hartman (PAL),McLaren 720S GT3 Special,02:11.952,00:36.572,00:35.702,00:59.677
34,Ethan Hoskin (ECH),McLaren 720S GT3 Special,02:12.197,00:36.277,00:36.425,00:59.495
35,Kyle Martin (PLY),Mercedes AMG GT3 2020,02:12.595,00:36.555,00:36.555,00:59.485
36,Fernando Martinez (WTF),Aston Martin Vantage V8 2019,02:13.365,00:36.370,00:36.437,01:00.557
37,Dan Meyer (PLY),Audi R8 LMS Evo II 2022,02:13.567,00:37.865,00:35.515,01:00.187
38,Ramsey Connely (RAM),McLaren 720S GT3 Special,59:59.999,00:00.000,00:00.000,00:00.000
39,Drache Tibbetts (DXT),Aston Martin Vantage V8 2019,59:59.999,00:00.000,00:00.000,00:00.000
40,Carlos Guzman (GUZ),Honda NSX Evo 2019,59:59.999,00:00.000,00:00.000,00:00.000
41,Waleed Sadat (SAD),Audi R8 GT3 2015,59:59.999,00:00.000,00:00.000,00:00.000
42,Dae Hee Yun (HYD),Honda NSX Evo 2019,59:59.999,00:00.000,00:00.000,00:00.000
