Rank,Driver,Car,Lap Time,Sector 1,Sector 2,Sector 3
1,Victor Diaz (VDI),McLaren 720S GT3 Special,02:06.875,00:37.975,00:53.667,00:35.232
2,Hesham Rimzk (RIM),Ferrari 488 GT3 Evo,02:08.500,00:38.147,00:54.467,00:35.885
3,Matthew Schwartz (SCH),McLaren 720S GT3 Special,02:11.080,00:38.952,00:55.330,00:36.797
4,J. Taka (TAK),BMW M4 GT3 2022,02:12.285,00:39.195,00:56.735,00:36.355
5,Russell Allen (ALL),Nissan GT-R Nismo GT3 2018,02:12.805,00:39.295,00:56.812,00:36.697
6,Dan Meyer (PLY),Ferrari 488 GT3 Evo,02:13.007,00:40.230,00:55.747,00:37.030
7,Eduardo Rodríguez (RDZ),Aston Martin Vantage V8 2019,02:13.375,00:39.417,00:57.037,00:36.920
8,Will Forsling (WMF),BMW M4 GT3 2022,02:13.622,00:39.925,00:56.765,00:36.932
9,Damon Morla (DAM),BMW M4 GT3 2022,02:13.722,00:39.830,00:56.807,00:37.085
10,Michael Moening (MMO),Aston Martin Vantage V8 2019,02:13.907,00:40.200,00:56.757,00:36.950
11,Tyler James (TYJ),BMW M4 GT3 2022,02:14.060,00:39.917,00:57.152,00:36.990
12,Dominic Duran (DCD),McLaren 720S GT3 Special,02:14.082,00:40.060,00:57.050,00:36.972
13,Joshua Lizasuain (LIZ),Mercedes AMG GT3 2020,02:14.437,00:39.987,00:57.150,00:37.300
14,Colin Matyac (CTM),Nissan GT-R Nismo GT3 2018,02:15.287,00:40.375,00:57.347,00:37.565
15,Curtis Lee (LEE),Audi R8 LMS Evo 2019,02:15.730,00:40.292,00:57.800,00:37.637
16,Robert Arendac (ARE),Mercedes AMG GT3 2020,02:15.770,00:40.292,00:58.080,00:37.397
17,Dustin Fickert (DRF),McLaren 720S GT3 Special,02:15.912,00:40.630,00:57.820,00:37.462
18,Justin Burrage (BUR),Aston Martin Vantage V8 2019,02:16.452,00:40.685,00:58.145,00:37.622
19,Gavin Thomas (THO),McLaren 720S GT3 Special,02:16.565,00:40.517,00:58.102,00:37.945
20,colin shea (PLY),Ferrari 488 GT3 Evo,02:16.777,00:40.445,00:59.192,00:37.140
21,Travis Robinson (TBR),Lamborghini Huracan Evo 2019,02:17.135,00:40.872,00:58.745,00:37.517
22,Josh Damiani (DAM),Aston Martin Vantage V8 2019,02:18.402,00:40.840,00:59.432,00:38.130
23,Evan Kim (KIM),Bentley Continental GT3 2018,02:19.465,00:41.952,00:59.472,00:38.040
24,Kyle  Turner (KHT),McLaren 720S GT3 Special,02:20.285,00:42.297,00:59.335,00:38.652
25,Mathieu Beaudin (MBB),McLaren 720S GT3 Special,02:21.027,00:41.425,01:00.400,00:39.202
26,John Foguth (JFO),McLaren 720S GT3 Special,02:23.780,00:42.235,01:02.040,00:39.505
27,Dae Hee Yun (HYD),Aston Martin Vantage V8 2019,02:26.797,00:44.415,01:01.910,00:40.472
28,Jacob Wolfman (WOL),Bentley Continental GT3 2018,02:30.012,00:43.877,01:04.452,00:41.682
29,Douglas Mitchell (DJM),BMW M4 GT3 2022,59:59.999,00:00.000,00:00.000,00:00.000
30,Chris Hannigan (HAN),Bentley Continental GT3 2018,59:59.999,00:00.000,00:00.000,00:00.000
31,Michael Micieli (PLY),Audi R8 LMS Evo 2019,59:59.999,00:00.000,00:00.000,00:00.000
