Rank,Driver,Car,Lap Time,Sector 1,Sector 2,Sector 3
1,Travis Nordstrom (NOR),Audi R8 LMS Evo II 2022,01:46.635,00:33.585,00:38.185,00:34.865
2,Samuel Suniga (SUN),Porsche 991 II GT3 R 2019,01:46.640,00:33.785,00:38.230,00:34.625
3,Dominic Duran (DCD),Porsche 991 II GT3 R 2019,01:46.752,00:33.707,00:38.287,00:34.757
4,Colin Matyac (COLIN),Audi R8 LMS Evo II 2022,01:46.930,00:33.697,00:38.457,00:34.775
5,Matthew Schwartz (MLS),Lexus RC F GT3,01:47.302,00:33.852,00:38.297,00:35.152
6,Chris Stefiuk (STE),Lexus RC F GT3,01:47.307,00:33.865,00:38.357,00:35.085
7,Max  Sanchez (MAX),BMW M4 GT3 2022,01:47.340,00:33.932,00:38.525,00:34.882
8,Kemo Sith (KEM),BMW M4 GT3 2022,01:47.350,00:33.942,00:38.305,00:35.102
9,Tyler James (TYJ),BMW M4 GT3 2022,01:47.362,00:33.910,00:38.430,00:35.022
10,Douglas Mitchell (DJM),BMW M4 GT3 2022,01:47.417,00:33.807,00:38.607,00:35.002
11,Joshua Arnold (JARNOLD),Audi R8 LMS Evo II 2022,01:47.465,00:33.852,00:38.527,00:35.085
12,Travis Robinson (TRO),Ferrari 488 GT3 Evo,01:47.547,00:34.125,00:38.477,00:34.945
13,Justin Moffatt (MUF),BMW M4 GT3 2022,01:47.645,00:33.952,00:38.575,00:35.117
14,David Funk (FUN),Ferrari 488 GT3 Evo,01:47.672,00:34.295,00:38.565,00:34.812
15,Brad Merys (BRAD),Lamborghini Huracan Evo 2019,01:47.777,00:34.070,00:38.397,00:35.310
16,Al Lotufo (ALT),Honda NSX Evo 2019,01:47.797,00:34.220,00:38.802,00:34.775
17,Dae Hee Yun (HYD),Aston Martin Vantage V8 2019,01:47.880,00:34.090,00:38.625,00:35.165
18,Russell Allen (ALL),Audi R8 LMS Evo II 2022,01:48.057,00:34.000,00:39.050,00:35.007
19,Bradley Busek (BSK),BMW M4 GT3 2022,01:48.145,00:34.267,00:38.545,00:35.332
20,Hesham Rimzk (RIMZK),McLaren 720S GT3 Special,01:48.242,00:34.297,00:38.862,00:35.082
21,Evan Kim (KIM),Bentley Continental GT3 2018,01:48.287,00:34.387,00:38.710,00:35.190
22,Dustin Fickert (DRF),Bentley Continental GT3 2018,01:48.435,00:34.310,00:38.832,00:35.292
23,Joe Wong (JKW),Audi R8 LMS Evo II 2022,01:48.497,00:34.140,00:38.787,00:35.570
24,Jason Allen (JAL),Audi R8 LMS Evo II 2022,01:48.547,00:34.472,00:38.732,00:35.342
25,Victor Diaz (DIA),McLaren 720S GT3 Special,01:48.585,00:34.305,00:39.325,00:34.955
26,Peter Reynolds (REY),Aston Martin Vantage V8 2019,01:48.612,00:34.152,00:39.192,00:35.267
27,Pauleh Hartman (PAL),McLaren 720S GT3 Special,01:48.952,00:34.297,00:38.825,00:35.830
28,Matt Morrison (MOR),Audi R8 LMS Evo II 2022,01:48.975,00:34.507,00:39.185,00:35.282
29,Samuel Suniga (SUN),Bentley Continental GT3 2018,01:49.257,00:34.485,00:38.832,00:35.940
30,Curtis Lee (CUJO),Audi R8 LMS Evo II 2022,01:49.360,00:34.565,00:38.872,00:35.922
31,Kyle Turner (KYLE),McLaren 720S GT3 Special,01:49.387,00:34.467,00:39.290,00:35.630
32,Ramsey Connely (RAM),McLaren 720S GT3 Special,01:49.552,00:34.260,00:39.345,00:35.947
33,Josh Damiani (DAM),Aston Martin Vantage V8 2019,01:49.797,00:34.892,00:39.330,00:35.575
34,Dan Meyer (MEY),Audi R8 LMS Evo II 2022,01:49.817,00:34.952,00:39.380,00:35.485
35,Colin Shea (COLIN ),McLaren 720S GT3 Special,01:49.822,00:34.817,00:38.800,00:36.205
36,Louis Formigal (LFO),Audi R8 LMS Evo II 2022,01:49.865,00:34.360,00:39.545,00:35.960
37,Toma Constantin (TCN),Ferrari 488 GT3 Evo,01:50.197,00:34.925,00:39.107,00:36.165
38,Aidan Grover (AAG),Lamborghini Huracan Evo 2019,01:50.382,00:35.367,00:38.917,00:36.097
39,Kyle Martin (KYLE),Mercedes AMG GT3 2020,01:51.060,00:34.765,00:39.675,00:36.620
40,Carlos Guzman (GUZ),McLaren 720S GT3 Special,01:51.845,00:35.832,00:39.642,00:36.370
41,Tyrell Foster (PLY),Porsche 991 II GT3 R 2019,01:51.960,00:35.830,00:39.907,00:36.222
42,Joshua McLaughlin (PLY),Porsche 991 II GT3 R 2019,01:52.102,00:35.790,00:39.570,00:36.742
43,JOSE GUZMAN (GUZ),McLaren 720S GT3 Special,01:53.212,00:36.152,00:40.107,00:36.952
44,Dan Meyer (MEY),Bentley Continental GT3 2018,01:54.022,00:36.257,00:40.610,00:37.155
45,Nathan Schaefer (LFG),McLaren 720S GT3 Special,01:54.135,00:36.577,00:40.802,00:36.755
46,Juan Alvarez (JUZ),McLaren 720S GT3 Special,01:54.757,00:36.050,00:40.805,00:37.902
47,Drache Tibbetts (DXT),Aston Martin Vantage V8 2019,01:55.300,00:36.915,00:39.955,00:38.430
