Rank,Driver,Car,Lap Time,Sector 1,Sector 2,Sector 3
1,Michael Moening (MMO),Aston Martin Vantage V8 2019,02:17.677,00:40.887,01:00.585,00:36.205
2,Dominic Duran (DCD),McLaren 720S GT3 Special,02:18.372,00:41.067,01:00.660,00:36.645
3,Victor Diaz (PLY),McLaren 720S GT3 Special,02:18.410,00:41.022,01:00.765,00:36.622
4,Taylor Carter (WTF),McLaren 720S GT3 Special,02:18.865,00:41.195,01:01.062,00:36.607
5,Chris Moses (MAD),Ferrari 488 GT3 Evo,02:18.992,00:41.477,01:00.797,00:36.717
6,Chris Stefiuk (STE),Lamborghini Huracan Evo 2019,02:19.295,00:41.112,01:01.480,00:36.702
7,J. Taka (TAK),BMW M4 GT3 2022,02:19.330,00:41.275,01:01.090,00:36.965
8,Chris Moses (MAD),Mercedes AMG GT3 2020,02:19.465,00:41.310,01:01.397,00:36.757
9,Evan Kim (KIM),Bentley Continental GT3 2018,02:19.467,00:41.297,01:01.327,00:36.842
10,Dae Hee Yun (HYD),McLaren 720S GT3 Special,02:19.500,00:41.130,01:01.525,00:36.845
11,Tyler James (TYJ),BMW M4 GT3 2022,02:19.592,00:41.115,01:01.492,00:36.985
12,Chris Moses (MAD),Audi R8 LMS Evo 2019,02:19.810,00:41.500,01:01.480,00:36.830
13,Chris Moses (MAD),Lamborghini Huracan Evo 2019,02:19.947,00:41.405,01:01.632,00:36.910
14,Chris Moses (MAD),Honda NSX Evo 2019,02:19.962,00:41.372,01:01.670,00:36.920
15,Russell Allen (ALL),Nissan GT-R Nismo GT3 2018,02:20.477,00:41.402,01:02.157,00:36.917
16,colin shea (PLY),Ferrari 488 GT3 Evo,02:20.480,00:41.170,01:02.187,00:37.122
17,Damon Morla (DAM),BMW M4 GT3 2022,02:20.627,00:41.760,01:01.802,00:37.065
18,Dustin Fickert (DRF),McLaren 720S GT3 Special,02:20.822,00:41.370,01:02.397,00:37.055
19,Kyle  Turner (PLY),McLaren 720S GT3 Special,02:20.937,00:41.597,01:02.005,00:37.335
20,Chris Moses (MAD),Porsche 991 II GT3 R 2019,02:20.937,00:41.945,01:01.565,00:37.427
21,Josh Damiani (DAM),Aston Martin Vantage V8 2019,02:21.075,00:41.652,01:02.235,00:37.187
22,John Foguth (JFO),McLaren 720S GT3 Special,02:21.135,00:41.942,01:01.970,00:37.222
23,Jess Osborn (PLY),BMW M4 GT3 2022,02:21.280,00:41.812,01:01.872,00:37.595
24,Hesham Rimzk (RIM),Ferrari 488 GT3 Evo,02:21.790,00:41.610,01:02.757,00:37.422
25,Nathan Schaefer (LFG),McLaren 720S GT3 Special,02:21.865,00:41.482,01:02.682,00:37.700
26,Chris Hannigan (HAN),Bentley Continental GT3 2018,02:21.937,00:41.477,01:03.160,00:37.300
27,Andre Reguero (REG),Lexus RC F GT3,02:22.162,00:41.717,01:02.855,00:37.590
28,David Taflevich (PLY),BMW M4 GT3 2022,02:22.342,00:42.305,01:02.382,00:37.655
29,Curtis Lee (LEE),Audi R8 LMS Evo 2019,02:22.415,00:41.940,01:03.132,00:37.342
30,Will Forsling (WMF),BMW M4 GT3 2022,02:22.497,00:42.017,01:03.030,00:37.450
31,Matt Morrison (MOR),Audi R8 LMS Evo 2019,02:22.672,00:41.912,01:03.210,00:37.550
32,Eduardo Rodríguez (RDZ),Aston Martin Vantage V8 2019,02:23.020,00:42.005,01:03.370,00:37.645
33,Justin Dumont (PLY),Aston Martin Vantage V8 2019,02:23.057,00:42.185,01:03.055,00:37.817
34,Tony Proenza (PLY),Porsche 991 II GT3 R 2019,02:23.245,00:42.445,01:02.795,00:38.005
35,Curtis Lee (LEE),Lexus RC F GT3,02:23.437,00:42.305,01:03.500,00:37.632
36,Alex Daniel (WTF),BMW M4 GT3 2022,02:24.587,00:43.082,01:03.472,00:38.032
37,Tommy Dong (TDO),Lexus RC F GT3,02:24.627,00:42.025,01:04.327,00:38.275
38,Pauleh Hartman (PLY),McLaren 720S GT3 Special,02:24.760,00:43.027,01:03.765,00:37.967
39,Gavin Thomas (THO),McLaren 720S GT3 Special,02:24.780,00:42.392,01:04.307,00:38.080
40,Jacob Wolfman (WOL),Bentley Continental GT3 2018,02:25.720,00:42.827,01:04.487,00:38.405
41,Dan Meyer (PLY),Ferrari 488 GT3 Evo,02:25.805,00:42.302,01:04.547,00:38.955
42,Pauleh Hartman (PLY),Audi R8 GT3 2015,02:28.007,00:43.502,01:05.070,00:39.435
43,Kyle Martin (PLY),Porsche 991 II GT3 R 2019,59:59.999,00:00.000,00:00.000,00:00.000
44,J. Taka (TAK),Porsche 991 II GT3 R 2019,59:59.999,00:00.000,00:00.000,00:00.000
