Rank,Driver,Car,Lap Time,Sector 1,Sector 2,Sector 3
1,Andrew Worden (WOR),Audi R8 LMS Evo II 2022,01:27.667,00:29.840,00:28.565,00:29.262
2,Brooker Quigg (BCQ),Porsche 991 II GT3 R 2019,01:27.955,00:29.670,00:28.877,00:29.407
3,Matt Leeman (LEE),McLaren 720S GT3 Special,01:27.955,00:29.797,00:28.810,00:29.347
4,Andrew Worden (WOR),Mercedes AMG GT3 2020,01:27.967,00:29.882,00:28.537,00:29.547
5,David Funk (FUN),Audi R8 LMS Evo II 2022,01:28.005,00:30.000,00:28.612,00:29.392
6,Diego Paul Fimbres Casas (FIM),Honda NSX Evo 2019,01:28.015,00:30.000,00:28.480,00:29.535
7,Patrick Rust (RUS),Porsche 991 II GT3 R 2019,01:28.047,00:29.812,00:28.825,00:29.410
8,Tyler James (TYJ),McLaren 720S GT3 Special,01:28.157,00:29.822,00:28.907,00:29.427
9,James Reilly (JMR),Honda NSX Evo 2019,01:28.332,00:29.907,00:29.010,00:29.415
10,Joshua Arnold (ARN),Audi R8 LMS Evo II 2022,01:28.350,00:30.202,00:28.622,00:29.525
11,  its morbin time (SUN),Audi R8 LMS Evo II 2022,01:28.400,00:29.932,00:28.837,00:29.630
12,Don Balanger (BEL),Mercedes AMG GT3 2020,01:28.487,00:30.112,00:28.935,00:29.440
13,Travis Robinson (TBR),Porsche 991 II GT3 R 2019,01:28.562,00:30.030,00:28.902,00:29.630
14,Matthew Schwartz (SCH),Porsche 991 II GT3 R 2019,01:28.567,00:29.930,00:28.950,00:29.687
15,Grant Klinsing (KLI),BMW M4 GT3 2022,01:28.595,00:30.047,00:28.862,00:29.685
16,Evan Kim (KIM),Bentley Continental GT3 2018,01:28.600,00:30.187,00:28.897,00:29.515
17,Travis Nordstrom (NOR),Honda NSX Evo 2019,01:28.622,00:30.127,00:28.997,00:29.497
18,Chris Stefiuk (STE),Porsche 991 II GT3 R 2019,01:28.640,00:30.257,00:28.832,00:29.550
19,Dominic Duran (DCD),Aston Martin Vantage V8 2019,01:28.715,00:29.980,00:28.970,00:29.765
20,Danny Durrance (PLY),Porsche 991 II GT3 R 2019,01:28.737,00:30.095,00:28.827,00:29.815
21,Chris Hannigan (HAN),Aston Martin Vantage V8 2019,01:28.850,00:30.040,00:28.932,00:29.877
22,Colin Matyac (MAT),Audi R8 LMS Evo II 2022,01:28.865,00:30.262,00:29.135,00:29.467
23,Taylor Carter (WTF),Audi R8 LMS Evo II 2022,01:28.870,00:30.375,00:28.867,00:29.627
24,Victor Diaz (DIA),Audi R8 LMS Evo II 2022,01:28.880,00:30.017,00:29.127,00:29.735
25,Douglas Mitchell (MIT),McLaren 720S GT3 Special,01:28.900,00:29.967,00:29.057,00:29.875
26,Kemal Kajtezovic (KEM),Audi R8 LMS Evo II 2022,01:28.935,00:30.210,00:29.270,00:29.455
27,Joe Wong (JKW),Aston Martin Vantage V8 2019,01:28.937,00:30.135,00:29.002,00:29.800
28,Andrew Anderson (AND),McLaren 720S GT3 Special,01:28.965,00:30.127,00:29.137,00:29.700
29,Michael Jeffries (MTJ),BMW M4 GT3 2022,01:29.005,00:30.332,00:29.050,00:29.622
30,Karl Fredricksen (FRD),Audi R8 LMS Evo II 2022,01:29.090,00:30.245,00:29.212,00:29.632
31,Fazlee Majeed (FAZ),Aston Martin Vantage V8 2019,01:29.102,00:30.105,00:29.140,00:29.857
32,Jeremy Reeder (PLY),BMW M4 GT3 2022,01:29.117,00:30.125,00:29.145,00:29.847
33,Justin Moffatt (MUF),Audi R8 LMS Evo II 2022,01:29.160,00:30.292,00:29.030,00:29.837
34,Victor Diaz (DIA),McLaren 720S GT3 Special,01:29.175,00:30.185,00:29.242,00:29.747
35,Dae Hee Yun (HYD),Porsche 991 II GT3 R 2019,01:29.247,00:30.580,00:28.967,00:29.700
36,Russell Allen (ALL),Audi R8 LMS Evo II 2022,01:29.290,00:30.502,00:29.142,00:29.645
37,Al Lotufo (ALT),McLaren 720S GT3 Special,01:29.317,00:30.120,00:29.227,00:29.970
