 Rank             Driver                         Car                   Lap Time       Sector 1       Sector 2       Sector 3   
  1   Michael Moening (MMO)        Aston Martin Vantage V8 2019       01:55.110      00:55.105      00:43.075      00:16.930   
  2   Travis Robinson (TBR)        Lamborghini Huracan Evo 2019       01:55.180      00:55.207      00:42.955      00:17.017   
  3   Chris Stefiuk (STE)          Lamborghini Huracan Evo 2019       01:55.467      00:55.160      00:43.357      00:16.950   
  4   Tyler James (TYJ)            BMW M4 GT3 2022                    01:55.472      00:55.397      00:43.207      00:16.867   
  5   Chris Hannigan (HAN)         Bentley Continental GT3 2018       01:55.475      00:55.482      00:43.065      00:16.927   
  6   Robert Arendac (ARE)         Mercedes AMG GT3 2020              01:55.487      00:55.230      00:43.250      00:17.007   
  7   Taylor Carter (WTF)          McLaren 720S GT3 Special           01:55.545      00:55.427      00:43.340      00:16.777   
  8   Douglas Mitchell (DJM)       BMW M4 GT3 2022                    01:55.680      00:55.362      00:43.257      00:17.060   
  9   J. Taka (TAK)                BMW M4 GT3 2022                    01:55.782      00:55.310      00:43.355      00:17.117   
  10  Dominic Duran (PLY)          McLaren 720S GT3 Special           01:55.797      00:55.505      00:43.277      00:17.015   
  11  Russell Allen (ALL)          Nissan GT-R Nismo GT3 2018         01:55.820      00:55.387      00:43.167      00:17.265   
  12  Evan Kim (KIM)               Bentley Continental GT3 2018       01:56.337      00:55.502      00:43.615      00:17.220   
  13  Peter Venhaus (PTR)          McLaren 720S GT3 Special           01:56.340      00:55.532      00:43.637      00:17.170   
  14  Mathieu Beaudin (MBB)        McLaren 720S GT3 Special           01:56.425      00:55.532      00:43.655      00:17.237   
  15  Ethan Mozie | DOR | (MOZ)    Audi R8 LMS Evo 2019               01:56.482      00:55.477      00:43.770      00:17.235   
  16  Colin Matyac (CTM)           Nissan GT-R Nismo GT3 2018         01:56.512      00:55.672      00:43.265      00:17.575   
  17  Jack Fletcher (JSF)          Bentley Continental GT3 2018       01:56.567      00:55.970      00:43.317      00:17.280   
  18  Adam Thomas (TOM)            Aston Martin Vantage V8 2019       01:56.667      00:55.970      00:43.567      00:17.130   
  19  Matthew Schwartz (SCH)       McLaren 720S GT3 Special           01:56.725      00:55.797      00:43.907      00:17.020   
  20  Matt Morrison[TSR] (MOR)     Audi R8 LMS Evo 2019               01:56.855      00:56.287      00:43.405      00:17.162   
  21  Kyle  Turner (KHT)           McLaren 720S GT3 Special           01:56.970      00:55.690      00:43.930      00:17.350   
  22  Victor Diaz (VDI)            McLaren 720S GT3 Special           01:57.187      00:56.020      00:43.722      00:17.445   
  23  Mathieu Beaudin (MBB)        Mercedes AMG GT3 2020              01:57.287      00:55.942      00:44.015      00:17.330   
  24  Curtis Lee (LEE)             Audi R8 LMS Evo 2019               01:57.290      00:56.087      00:43.790      00:17.412   
  25  Josh Damiani (DAM)           Aston Martin Vantage V8 2019       01:57.360      00:56.282      00:43.785      00:17.292   
  26  Damon Morla (DAM)            BMW M4 GT3 2022                    01:57.362      00:56.197      00:43.605      00:17.560   
  27  David Taflevich (PLY)        BMW M4 GT3 2022                    01:57.382      00:56.352      00:43.782      00:17.247   
  28  Justin Burrage (BUR)         Aston Martin Vantage V8 2019       01:57.587      00:56.122      00:44.055      00:17.410   
  29  Tommy Dong (TDO)             Lexus RC F GT3                     01:57.645      00:56.635      00:43.790      00:17.220   
